chargeback_id,payment_sequential,chargeback_reason,chargeback_status,chargeback_opened_at,chargeback_closed_at,chargeback_amount,issuer_response,acquirer_response
5b44c6f9e0661260464c004450816622,1,fraude,ganho,43387,43413,157.80,aprovado,aceito
e82d894886abcae9bc58caf489ef9cdc,2,cobranca_duplicada,aberto,43091,43127,54.34,recusado,aceito
5ca18035ac56a17dd903b0e8410aae06,1,fraude,aberto,43082,43125,710.22,aprovado,avaliacao_manual
923edd16abada2893b886d3757c73ffa,1,cobranca_duplicada,perdido,43204,43239,53.76,revisando,avaliacao_manual
8f64289fd97cf4fe86ff2cf5ddd6d653,1,fraude,aberto,43128,43171,173.82,aprovado,disputando
6b6de07ee5e837bde4aead95e9891f0e,2,fraude,perdido,43159,43194,43.41,recusado,disputando
0ced505a94fa52355ca31070c281df6e,1,cobranca_duplicada,sob_analise,43058,43070,74.76,recusado,aceito
9b256bac4d128fa4841abe19f6126836,1,fraude,perdido,43160,43193,36.09,aprovado,avaliacao_manual
dec8174d065c241bf96331b867fe47ad,1,cobranca_duplicada,ganho,42795,42831,276.57,aprovado,disputando
166ab94329c9512235fd5b3143685927,2,cobranca_duplicada,perdido,42857,42871,77.28,aprovado,disputando
055e4873984d5da3b7d65dc86a3c4149,1,fraude,perdido,43243,43276,206.99,tempo_excedido,disputando
e90ec4b6b234181833371ada5474c96b,1,cobranca_duplicada,aberto,43432,43478,95.76,recusado,avaliacao_manual
dd6080fd238b70c9ebb44a038b77c410,1,fraude,aberto,43165,43210,142.89,aprovado,avaliacao_manual
e2d0dc3c743b5c8af5b6d15458f10a5c,1,cobranca_duplicada,aberto,43268,43313,102.53,revisando,avaliacao_manual
25461ae3c4bf9bf6e41a3a163f763c8f,2,cobranca_duplicada,ganho,42858,42882,64.20,aprovado,avaliacao_manual
03e7fbb471b77e2baedac2662bd76db8,1,cobranca_duplicada,perdido,43360,43375,257.21,recusado,avaliacao_manual
3e22362ff8073375db0a40770f897f7b,2,cobranca_duplicada,sob_analise,42867,42898,132.95,aprovado,aceito
0ab73486735f114f9e844522fa9b16ec,2,cobranca_duplicada,ganho,42810,42827,99.90,tempo_excedido,aceito
f67026e78b00cb23af0f2ccdb5ee8245,2,cobranca_duplicada,aberto,43012,43024,169.86,revisando,avaliacao_manual
08c3c0d49b3cb66764234e0fa980e850,1,cobranca_duplicada,perdido,43234,43256,225.71,tempo_excedido,aceito
d1ee985bf7378b46fd1058b35c8132da,2,fraude,perdido,43262,43285,119.19,aprovado,avaliacao_manual
cf2012c5bb2a858db95ead15c5f1595b,1,cobranca_duplicada,aberto,42827,42853,68.49,aprovado,aceito
019636907d07b2433be000d9d6bed153,2,cobranca_duplicada,sob_analise,42790,42804,72.75,revisando,aceito
f716dffba1232aaef7c899fb8c14db97,2,cobranca_duplicada,aberto,43051,43063,354.35,aprovado,disputando
