chargeback_id,chargeback_reason,chargeback_status,chargeback_amount,issuer_response,acquirer_response
c8c528189310eaa44a745b8d9d26908b,fraude,ganho,0.00,aprovado,aceito
1dacb75a3f524523a6521835a6787057,voucher_indisponivel,ganho,100.00,aprovado,aceito
f33aa647f08ec9623c76b6212be92333,voucher_indisponivel,ganho,100.34,aprovado,aceito
ba3fbd2edbc0524c198765b79c67875d,mercadoria_nao_recebida,ganho,1008.95,aprovado,aceito
cc0a0d27ed6897ad08f28a1f2472a49d,mercadoria_nao_recebida,ganho,101.14,aprovado,aceito
7701ecd93e987006334fba168c936f20,fraude,ganho,101.56,aprovado,aceito
53a0b865b63b4a2b64f8f46b31cdf3ed,erro_de_processamento,ganho,102.01,aprovado,aceito
d01a489bb718b638df1e789951d37fbb,mercadoria_nao_recebida,ganho,102.26,aprovado,aceito
546c8958ff67b28473cf140ec32a5a91,erro_de_processamento,ganho,102.56,aprovado,aceito
cf8ba1509b00eca37b08289371dbbf0d,mercadoria_nao_recebida,ganho,102.64,aprovado,aceito
ca7296a83aa279afb28c2388a4f48891,mercadoria_nao_recebida,ganho,102.96,aprovado,aceito
544789a536e56050d352f95b48062912,erro_de_processamento,ganho,103.37,aprovado,aceito
c3a1f7b3c574d1e8417bead437baadaf,mercadoria_nao_recebida,ganho,103.46,aprovado,aceito
20085191cbcabee83a2016eb4a9fbf21,cobranca_duplicada,ganho,103.50,aprovado,aceito
2fc1313d91489f3f305f00305b493ec5,erro_de_processamento,ganho,104.28,aprovado,aceito
bfd78b312cc39789d717553c3e611abf,mercadoria_nao_recebida,ganho,105.28,aprovado,aceito
53655ba462a8da271979e297337716d0,erro_de_processamento,ganho,106.19,aprovado,aceito
bb8a565ee080cd9009f0209bf124beaf,mercadoria_nao_recebida,ganho,106.21,aprovado,aceito
6cc462dbd8849dc8a1ac2f9023901fe6,fraude,ganho,106.78,aprovado,aceito
c0624f728b31f0d7f5bafce9731a953c,mercadoria_nao_recebida,ganho,106.78,aprovado,aceito
d1e0427b410886678a52f73caa44e264,mercadoria_nao_recebida,ganho,106.97,aprovado,aceito
ca36cc19c0a413c8f724ae07323cd2cc,mercadoria_nao_recebida,ganho,107.24,aprovado,aceito
6fa1b046e2e8e336c8350c7e1600bb32,fraude,ganho,107.44,aprovado,aceito
1f01fe794c7b4f7066b38ad326c4bfa2,cobranca_duplicada,ganho,107.78,aprovado,aceito
bf4f668d122d55a591b4b205aa25d13c,mercadoria_nao_recebida,ganho,107.78,aprovado,aceito
c616da5cc141068461ed014eb4c21d9d,mercadoria_nao_recebida,ganho,107.78,aprovado,aceito
8d16656866ce7d67f81d49a9707ab76e,mercadoria_nao_recebida,ganho,108.20,aprovado,aceito
c172f96808d5e1df5a287d171592d3c6,mercadoria_nao_recebida,ganho,108.68,aprovado,aceito
fac7a12d71d1e7acb587f748a51d9ccf,defeito,perdido,108.81,aprovado,aceito
829f7b42460d760ab4f2c03faf6534ee,mercadoria_nao_recebida,ganho,109.41,aprovado,aceito
581485f89782bb075ada5368b8c8e74f,erro_de_processamento,ganho,109.50,aprovado,aceito
d57dc0719a809a0b1f533d4b150fea47,mercadoria_nao_recebida,ganho,109.75,aprovado,aceito
6fa816a50da044a1d17ec9bc408c8d7d,fraude,ganho,109.81,aprovado,aceito
cf0df64aec6d7f8bf60b0552a954b3b8,mercadoria_nao_recebida,ganho,110.21,aprovado,aceito
ca586f4a85ee254cc0b4e01e30809cb1,mercadoria_nao_recebida,ganho,110.42,aprovado,aceito
